"Tumor_T3" "Tumor_T4" "Tumor_T5" "HT1376_1" "HT1376_2" "RT4_1" "RT4_2" "SCABER_1" "SCABER_2" "SW780_1" "SW780_2" "Tumor_T1"
"ENSG00000005955.8" 27.33 17.06 19.75 23.27 41.36 95.43 78.9 49.57 55.59 26.64 26.21 11.09
"ENSG00000005961.13" 0.44 0.25 0.15 0.02 0 0.1 0.08 0.48 0.72 0.97 0.2 0
"ENSG00000005981.8" 0.03 0 0 0 0 0 0 0.03 0.02 0.07 0.07 0
"ENSG00000006007.7" 22.02 8.07 7.87 52.67 39.12 70.19 100.23 65.74 78.43 68.64 54.01 9.93
"ENSG00000006015.13" 16.19 14.93 12.47 55.11 51.48 40.86 18.32 33.95 10.31 55.45 40.48 11.26
"ENSG00000006016.6" 1.6 0.53 12.3 2.46 0.51 3.9 1.4 2.12 1.07 5.78 7.93 1.76
"ENSG00000006025.7" 2.41 2.01 1.65 0.04 0 4.53 8.5 8.47 7.22 0.58 0.92 4.09
"ENSG00000006042.7" 18.76 2.82 4.68 0 0 24.08 30.3 2.16 0.34 11.49 6.82 3.6
"ENSG00000006047.8" 0.01 0.46 0.03 1.22 0.74 0 0 0.03 0.03 0.1 0.02 0
"ENSG00000006059.3" 0 0 0 0 0.07 0.08 0.72 0.1 0 0.19 0 0
"ENSG00000006062.9" 2.89 2.12 4.27 0.81 0.35 3.77 2.39 9.49 4.89 0.89 2.01 1.22
"ENSG00000006071.7" 0.68 0.04 0 0 0 0.14 1.89 0 0 0.14 0 0
"ENSG00000006074.4" 9.45 2.84 45.98 0 0 0 0 0 0 0 0 0
"ENSG00000006075.11" 5.69 5.26 22.17 0.13 0.43 0 0 0 0 0.61 0.3 0
"ENSG00000006114.11" 16.59 10.35 12.21 0.55 1.18 21.5 43.1 10.98 17.75 1.76 2.32 9.02
"ENSG00000006116.3" 0.01 0 0 0 0 0 0 0 0.02 0 0 0
"ENSG00000006118.10" 2.3 8.12 15.76 4.77 4.74 41.33 68.33 90.85 66.44 25.28 35.84 5.57
"ENSG00000006125.12" 28.84 8.56 29.76 11.88 56.21 69.45 77.17 120.54 229.45 34.03 35.96 8.62
"ENSG00000006128.7" 0.46 0 0 0.18 0 0 0 0 0.06 0 0 0
"ENSG00000006194.6" 9.43 6.78 6.11 7.08 7.16 27.58 14.37 29.75 23.57 3.86 6.88 5.11
"ENSG00000006210.6" 11.62 7.51 6.83 0.02 0.05 0.2 0.04 0.11 0.01 0.06 0.05 0.67
"ENSG00000006282.15" 14.91 3.7 7.9 2.46 1.64 94.49 62.61 32.19 13.74 20.82 26.22 10.6
"ENSG00000006283.13" 0.13 0.01 0 0.01 0 0.07 0.1 0.03 0.41 0 0 0.41
"ENSG00000006327.9" 21.67 7.06 21.35 439.4 378.06 125.7 11.88 328.46 121.36 365.77 361.51 6.15
"ENSG00000006377.9" 0.22 0.3 0.28 0 0 3.24 2.31 0.15 0.2 0 0 0.31
"ENSG00000006432.11" 1.29 1.99 2.82 0.26 0.35 7.58 9.59 25.57 53.7 4.46 7.65 1.45
"ENSG00000006451.3" 9.71 5.34 31.92 29.73 39.39 48.22 37.35 57.47 83.61 24.1 20.48 3.84
"ENSG00000006453.9" 9.42 4.21 6.18 9.07 7.74 49.22 57.2 47.32 68.28 12.41 15.97 14.94
"ENSG00000006459.6" 9.41 4.02 7.18 0.09 0.05 3.4 17.46 7.06 32.63 0.24 0.32 1.97
"ENSG00000006468.9" 4.39 0.68 3.03 0.18 0.44 0.17 1.38 1.66 3.7 0.2 0.03 1.21
"ENSG00000006530.11" 7.57 3.53 7.73 7.25 5.44 19.87 22.45 23.39 31.09 7.7 7.59 3.72
"ENSG00000006534.11" 3.19 1.05 3.26 0.91 1.93 1.77 1.46 43.2 20.53 8.15 11.05 3.16
"ENSG00000006555.6" 2.88 4.5 1.35 0.13 0.14 1.67 2.16 10.63 6.96 3.65 5.91 1.68
"ENSG00000006576.12" 15.35 3.95 7.91 10.15 8.63 32.19 38.52 13.76 18.18 7.46 8.83 0.78
"ENSG00000006606.4" 0.14 0.09 0.21 0 0 0.13 0 0.73 0.49 0 0.28 0
"ENSG00000006607.9" 13.63 7.17 7.8 3.58 2.94 24 39.5 16.17 27.82 2.46 3.73 7.14
"ENSG00000006611.11" 0.12 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000006625.13" 9.52 28.18 11.22 79.89 63.31 86.48 120.9 123.33 125.22 74.09 72.88 12.27
"ENSG00000006634.3" 2.84 3.49 5.35 10.82 17.33 29.66 27.05 21.08 42.29 3.7 3.55 3.77
"ENSG00000006638.7" 1.29 0.12 0.66 0 0 0 0.12 0.02 0.16 0 0 0.23
"ENSG00000006652.9" 27.85 9.69 19.32 13.16 8.69 94.05 47.86 48.92 66.32 2.21 3.28 5.13
"ENSG00000006659.8" 0 0.04 0 0 0 0 0 0 0 0 0 0
"ENSG00000006695.6" 6.97 2.22 4.53 7.59 5.74 13.14 7.3 11.38 8.72 4.12 4.69 3.27
"ENSG00000006704.6" 3.02 3.59 3.38 3.26 5.03 38.23 32.47 61.54 48.14 21.91 41.05 11.13
"ENSG00000006712.10" 9.51 7.95 9.19 7.82 9.72 105.03 63.48 36.88 30.16 16.74 26.24 6.12
"ENSG00000006715.11" 19.52 7.69 16.76 5.46 4.28 36.3 45 45.97 70.02 1.98 2 7.19
"ENSG00000006740.12" 1.68 0.3 0.4 0.16 0.12 1.56 1.52 0.43 0.75 1.31 1.62 0.18
"ENSG00000006744.14" 9.8 8.2 9.59 10.45 8.11 55.54 70.5 47.28 71.99 17.91 28.07 11.02
"ENSG00000006747.10" 3.25 0.66 0.49 12.58 21.92 0.85 2.04 0.26 0.21 0.29 0.21 4.01
"ENSG00000006756.11" 9.29 4.49 3.29 0.48 0.02 0.19 0.17 12.05 8.42 10.58 9.5 7.79
"ENSG00000006757.7" 2.41 1.43 1.13 18.33 11.08 22.42 13.69 12.86 6.88 31.15 21.53 2.01
"ENSG00000006788.8" 0.01 0 0.02 0 0 0 0 0 0 0 0 0
"ENSG00000006831.9" 11.54 6.76 27.19 13 9.9 48.41 34.73 56.51 61.34 12.88 15.61 2.77
"ENSG00000006837.7" 0.77 0.32 0.35 1.27 3.12 2.31 1.43 0.55 0.82 2.33 1.22 0.33
"ENSG00000007001.8" 0 0 0 0 0 0.06 0.05 0 0 0 0 0
"ENSG00000007038.6" 0.53 1.24 0.25 0.23 0 0.28 0.07 54.3 10.24 0 0 0
"ENSG00000007047.10" 3.55 5.99 4.21 0.66 0.44 24.06 32.57 15.07 21.44 20.03 39.36 10.11
"ENSG00000007062.7" 4.87 0.67 0.12 0.04 0 0.02 0.02 0 0 0 0 0.46
"ENSG00000007080.6" 9.36 15.26 10.12 67.24 59.49 88.05 26.17 67.22 25.75 100.54 162.19 18.82
"ENSG00000007129.13" 1.3 1.48 1.37 0.09 0 0 0 0 0 0.3 0 0.12
"ENSG00000007168.8" 45.53 18.95 36.22 22.54 27.61 30.85 50.33 55.52 103.01 33.24 34.69 7.44
"ENSG00000007171.12" 0.1 0.77 0.13 0 0 0.82 0.02 0 0 0.02 0 0
"ENSG00000007174.13" 0.16 0.01 0.04 0 0 0 0.12 0.03 0.03 0 0 0
"ENSG00000007202.10" 33.46 45.22 21.53 5.68 4 69.55 105.31 75.8 106.48 6.58 9.56 37.93
"ENSG00000007216.10" 0.04 0 0 0 0 0 1.27 0.04 0 0 0 0
"ENSG00000007237.14" 12.74 2.58 3.24 0.39 0.33 0.52 0.28 0.34 0.07 0.04 0.05 0.84
"ENSG00000007255.6" 6.79 3.44 5.54 34.24 24.56 27.8 16.57 23.57 5.25 143.96 107.83 3.88
"ENSG00000007264.9" 0.85 0.48 0.61 0 0 0 0.06 0.07 0.05 0 0 0
"ENSG00000007306.10" 17.39 1.57 0.09 0 0 0.04 0 0 0 0.7 0.28 0
"ENSG00000007312.8" 4.26 2.68 1.65 0.61 0 0 0 0 0 0.4 0.17 0
"ENSG00000007314.7" 0.2 0.01 0 0.02 0 0.11 0 0.11 0.01 0 0 0.05
"ENSG00000007341.14" 5.14 4.36 5.32 9.87 8.26 19.79 20.7 26.05 34.54 10.7 11.11 2.56
"ENSG00000007350.12" 0 0.01 0.59 0.22 0.03 0 0 0 0 0 0 0
"ENSG00000007372.16" 0 0.37 3.1 15.57 19.84 3.37 1.07 0.31 0.09 0.19 0.12 0.42
"ENSG00000007376.3" 3.14 3.92 1.98 22.01 13.28 16.65 9.12 29.35 8.88 15.37 18.68 2.59
"ENSG00000007384.11" 7.75 5.23 2.33 3.51 2.25 18.08 10.84 49.57 24.82 9.58 18.34 9.73
"ENSG00000007392.12" 18.01 11.63 9.64 23.48 33.87 42.73 59.67 23.39 17.92 5.7 9.26 29.7
"ENSG00000007402.7" 0.45 0.05 0.14 0 0 0.09 0.35 0.2 0.1 0 0 0.02
"ENSG00000007516.9" 1.16 0.47 0.36 0.83 1.09 13.47 9.82 1.81 1.2 1.74 1.99 0.76
"ENSG00000007520.3" 15.22 11.55 6.9 142.46 122.48 25.39 8.2 60.86 23.05 79.14 70.69 9.86
"ENSG00000007541.10" 5.36 4.42 2.96 19.85 18.04 14.27 6.15 33.05 17.85 11.57 15.66 3.37
"ENSG00000007545.11" 3.12 4.17 1.91 0.7 0.86 12.54 11.36 23.05 19.99 1.62 2.36 2.76
"ENSG00000007866.14" 8.8 5.34 6.57 6.6 5.02 45.16 45.11 28.18 16.51 16.92 23.67 7.13
"ENSG00000007908.11" 7.48 0.34 1.07 0 0 0 0.09 0.03 0 0 0 0
"ENSG00000007923.11" 8.07 6.49 6.97 6.64 4.36 34.89 32.3 46.27 45.63 3.93 5.07 17.32
"ENSG00000007933.8" 0.26 3.86 0.21 0 0 0 0.16 0 0.04 0 0 0.4
"ENSG00000007944.10" 14.13 7.63 5.5 2.13 2.98 41.97 95.71 23.75 11.14 3.99 3.19 7.5
"ENSG00000007952.13" 2.64 0.05 0.02 0 0.03 0.18 1.42 0.02 0.44 0 0.03 0
"ENSG00000007968.6" 0.25 1.99 0.75 1.64 2.58 0.19 0.89 3.15 3.13 0.19 0.11 0.51
"ENSG00000008018.8" 42.98 34.78 32.33 691.31 474.08 98.55 57.54 180.5 155.94 390.1 282.1 16.49
"ENSG00000008056.8" 0.07 0.06 0.11 0 0 0 0.05 0.03 0.08 0 0 0.02
"ENSG00000008083.9" 3.84 8.04 8.28 1.05 2.7 10.45 14.26 15.6 20.18 4.5 5.54 4.67
"ENSG00000008086.6" 4.39 2.15 4.63 0 0 3.96 11.8 0.17 1.27 0.12 0.17 3.85
"ENSG00000008118.5" 0.11 0.11 0.22 0.03 0 0 0.01 0.16 0.78 0 0 0.16
"ENSG00000008128.18" 6.85 9.6 6.19 6.77 23.79 33.13 26.12 52.48 39.25 7.29 18.14 16.1
"ENSG00000008130.11" 17.86 17.13 12.94 24.69 17.89 44.78 21.66 50.83 34.95 5.72 5.46 13.03
"ENSG00000008196.8" 0.01 0.1 0 0 0.01 0.02 1.29 0 0.01 0 0 0.11
"ENSG00000008197.4" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000008226.15" 0.29 0.07 0.13 0 0 0.08 0.18 0 0.1 0.07 0.02 0.4
"ENSG00000008256.11" 6.61 4.03 7.02 10.11 9.08 19.98 11.79 87.18 64.17 11.05 12.42 2.78
"ENSG00000008277.10" 4.87 0.29 1.68 0.06 0 4.88 7.05 0.37 0.59 0.1 0.2 0.73
"ENSG00000008282.3" 43.82 26.08 16.98 87.87 69.98 169.66 232.28 88.41 186.26 52.96 31.37 11.01
"ENSG00000008283.11" 9.09 9.02 9.88 26.29 16.99 45.26 22.72 69.13 36.68 36.27 36.5 7.34
"ENSG00000008294.16" 38.48 17.35 35.58 6.35 6.85 67.85 80.08 71.04 216.2 10.78 13.47 16.21
"ENSG00000008300.10" 0.11 2.38 3.36 0.51 0.52 8.91 8.07 7.7 7.63 1.53 2.8 0.47
"ENSG00000008311.10" 9.63 3.16 1.41 0.18 0.14 8.89 6.48 3.29 3.11 1.98 1.74 2.3
"ENSG00000008323.11" 6.12 0.56 6.77 12.35 11.54 68.46 39.92 7.18 6.46 18.83 24.27 10.68
"ENSG00000008324.6" 6.54 2.27 3.99 44.74 33.08 16.67 19.44 13.13 11.59 76.3 58.54 2.37
"ENSG00000008382.11" 3.42 3.87 2.27 7.9 5.71 14.65 21.69 7.4 5.45 13.13 19.95 8.14
"ENSG00000008394.8" 56.33 34 3.46 434.1 411.3 1381.3 919.36 1.67 0.63 425.95 309.25 55.87
"ENSG00000008405.7" 8.07 1.8 6.09 4.4 2.54 23.13 16.96 9.91 15.09 3.18 2.34 0.46
"ENSG00000008438.4" 0.07 0.04 0.13 0 0 0.08 0.32 0 0.21 0 0 0
"ENSG00000008441.12" 14.41 6.23 5.22 0.47 0.4 12.74 6.3 17.99 6.2 1.26 2.43 1.42
"ENSG00000008513.10" 24.39 8.29 10.85 0.01 0.03 81.99 82.38 0.43 0.8 4.09 3.7 19.19
"ENSG00000008516.12" 1.15 4.1 0.94 0.4 0.07 0.28 0.17 0.74 0.57 0.17 0.53 0.45
"ENSG00000008517.12" 20.1 28.35 36.1 42.59 30.75 111.92 15.12 109.16 56.36 193.59 286.72 4.77
"ENSG00000008710.13" 15.53 11.33 5.96 1.21 0.3 63.01 18.26 78.27 38.75 4.84 9.45 7.08
"ENSG00000008735.10" 0.12 1.29 0.66 0.09 0.12 0.15 0.15 1.59 0.25 0 0.16 0
"ENSG00000008838.13" 10 10.64 9.7 10.24 9.85 40.7 44.06 47.83 32.72 12.63 22.33 9.02
"ENSG00000008853.12" 5.72 1.27 2.05 4.21 2.7 203.41 156.36 13.37 10.08 1.97 4.22 3.28
"ENSG00000008869.7" 11.51 5.12 6.05 1.25 0.93 7.36 11.25 8.51 10.04 1.19 1.48 3.25
"ENSG00000008952.12" 34.97 17.32 15.47 114.85 429.79 84.87 85.42 76.26 105.08 274.41 342.5 22.63
"ENSG00000008988.5" 510.78 220.78 400.85 7930.75 6226.71 1361.9 1147.69 2555.79 2021.41 5521.22 4595.21 287.66
"ENSG00000009307.11" 142.21 58.01 81.6 94.11 83.5 379.61 406.85 384.03 549.11 167.6 165.88 67.36
